Date,Kind,Model,Max Mode,Input (w/ Cache Write),Input (w/o Cache Write),Cache Read,Output Tokens,Total Tokens,Cost
"2025-11-14T00:04:52.618Z","Included","auto","No","13363","1769","100544","1947","117623","0.06"
"2025-11-09T23:08:07.441Z","Included","auto","No","0","180312","507781","9689","697782","0.41"
"2025-11-09T22:42:34.828Z","Included","auto","No","0","14975","858554","4584","878113","0.26"
"2025-11-09T22:28:34.699Z","Included","auto","No","0","75936","508312","6873","591121","0.26"
"2025-11-09T20:58:26.341Z","Included","auto","No","0","73839","1698360","7818","1780017","0.56"
"2025-11-09T19:43:15.311Z","Included","auto","No","0","9823","604158","3623","617604","0.19"
"2025-11-09T19:37:12.134Z","Included","auto","No","0","47999","534439","4839","587277","0.22"
"2025-11-09T15:56:28.178Z","Included","auto","No","0","10366","226651","1213","238230","0.08"
"2025-11-09T15:40:44.165Z","Included","auto","No","0","75277","376274","2597","454148","0.20"
"2025-11-04T03:52:52.800Z","free","auto","No","33979","2349","643862","9618","689808","0.26"
"2025-11-03T22:17:29.464Z","free","auto","No","90888","1109","573233","1794","667024","0.27"
"2025-11-03T22:03:32.721Z","free","auto","No","5891","1004","353875","1290","362060","0.10"
"2025-11-03T22:02:17.814Z","free","auto","No","4754","1167","250619","1738","258278","0.08"
"2025-11-03T21:57:26.574Z","free","auto","No","2387","1132","242528","1235","247282","0.07"
"2025-11-03T21:35:19.296Z","free","auto","No","6122","26633","381069","2968","416792","0.15"
"2025-11-03T21:32:43.957Z","free","auto","No","3687","991","143181","891","148750","0.05"
"2025-11-03T21:28:05.734Z","free","auto","No","4492","1029","276468","1754","283743","0.09"
"2025-11-03T21:23:16.286Z","free","auto","No","9027","1154","374130","3256","387567","0.13"
"2025-11-03T21:10:44.467Z","free","auto","No","52083","17573","467957","5766","543379","0.24"
"2025-11-03T20:23:29.061Z","free","auto","No","0","6987","140083","3014","150084","0.06"
"2025-11-03T20:17:56.383Z","free","auto","No","0","8917","175031","2174","186122","0.07"
"2025-11-03T20:13:04.796Z","free","auto","No","0","39253","130144","3463","172860","0.10"
"2025-11-03T18:39:49.560Z","free","auto","No","0","27769","13201","1530","42500","0.05"
"2025-11-03T18:19:27.425Z","free","auto","No","0","2893","35742","2402","41037","0.03"
"2025-11-03T18:16:06.050Z","free","auto","No","0","27777","45229","2142","75148","0.06"
"2025-11-03T18:00:28.059Z","free","auto","No","0","23466","143582","1493","168541","0.07"
"2025-11-03T17:12:50.442Z","free","auto","No","0","6930","89595","1444","97969","0.04"
"2025-11-03T16:52:01.521Z","free","auto","No","0","14475","215746","3583","233804","0.09"
"2025-11-03T16:43:59.140Z","free","auto","No","0","9454","360780","6738","376972","0.14"
"2025-11-03T16:42:50.219Z","free","auto","No","0","440","1174","10","1624","0.001"
"2025-11-03T16:37:38.082Z","free","auto","No","0","4637","16804","2996","24437","0.03"
"2025-11-03T16:36:12.342Z","free","auto","No","0","6805","4608","666","12079","0.01"
